iso3,country_name,transition,year,n_natural_classes,natural_loss_sum_km2,weight_sum,bfnee_sum_km2,continent,region_un,subregion,bfnee_per_loss,log_bfnee,log_natural_loss,log_weight_sum
EGY,Egypt,1995_2000,2000,65,2719.46970431301,0.00282566887835987,7.6843209335247,Africa,Africa,Northern Africa,0.002825668887334013,2.1615192082107133,7.908559829790828,0.002821684180580941
EGY,Egypt,2000_2005,2005,65,2789.85017006953,0.00695374518332028,19.399907141924,Africa,Africa,Northern Africa,0.0069537451688455746,3.0155303489733405,7.934101548852592,0.006929679397765798
EGY,Egypt,2005_2010,2010,65,2158.47961952741,0.00317052202376803,6.8435071574108,Africa,Africa,Northern Africa,0.0031705220172100384,2.059686075841414,7.677622554767617,0.0031655065172029005
EGY,Egypt,2010_2015,2015,65,2316.5603719269,0.00228389805440923,5.29078772571055,Africa,Africa,Northern Africa,0.0022838980541265612,1.83908629748332,7.748270347554597,0.0022812939235403173
ERI,Eritrea,1995_2000,2000,65,3625.03333807281,3.7683433926406e-4,1.36603704327113,Africa,Africa,Eastern Africa,3.7683433940427193e-4,0.8612164219303071,8.195894585445947,3.7676335503673873e-4
ERI,Eritrea,2000_2005,2005,65,2207.13359478577,0.0093479427812735,20.6321584385556,Africa,Africa,Eastern Africa,0.009347942728658529,3.0741810241012795,7.699902910451499,0.009304521156309984
ERI,Eritrea,2005_2010,2010,65,1196.67859513317,1.6800654608072e-4,0.201049837341432,Africa,Africa,Eastern Africa,1.6800654591725073e-4,0.18319603877430116,7.088140458150754,1.6799243456148662e-4
ERI,Eritrea,2010_2015,2015,65,1604.56053680013,8.5266102619823e-4,1.36814623314935,Africa,Africa,Eastern Africa,8.526610257271779e-4,0.8621074689788136,7.381228218704817,8.522977172903278e-4
ETH,Ethiopia,1995_2000,2000,65,136536.940414459,0.00167799251050002,229.107963543612,Africa,Africa,Eastern Africa,0.0016779925113903451,5.438548605497687,11.824357806739998,0.0016765862539728754
ETH,Ethiopia,2000_2005,2005,65,43177.791029027,0.00348658027737858,150.542834423728,Africa,Africa,Eastern Africa,0.0034865802727731725,5.020868320457435,10.673104705275422,0.0034805162474270397
ETH,Ethiopia,2005_2010,2010,65,43684.1508380245,9.2401243445545e-4,40.3646985963687,Africa,Africa,Eastern Africa,9.240124352201803e-4,3.722427826174616,10.684763525582467,9.235857977574517e-4
ETH,Ethiopia,2010_2015,2015,65,22969.7846119785,5.1711298832081e-4,11.8779739536003,Africa,Africa,Eastern Africa,5.17112987964461e-4,2.555518406563884,10.04197845321812,5.169793314746073e-4
GAB,Gabon,1995_2000,2000,65,7734.94121085808,0.00326452095141338,25.2508776467105,Africa,Africa,Middle Africa,0.0032645209521779003,3.2676994226391236,8.953632437680533,0.0032592039713449854
GAB,Gabon,2000_2005,2005,65,3772.23653389369,0.0433227512473648,163.423664793775,Africa,Africa,Middle Africa,0.0433227511916093,5.10244641869694,8.235688409198263,0.04241057325810517
GAB,Gabon,2005_2010,2010,65,3053.99664237999,0.0046246174573636,14.1235661757583,Africa,Africa,Middle Africa,0.00462461745365632,2.716254201126291,8.024533772547805,0.004613956769151091
GAB,Gabon,2010_2015,2015,65,2202.54637160169,0.00256116963531314,5.64109488296157,Africa,Africa,Middle Africa,0.002561169633336423,1.8932768419074335,7.697823328581458,0.0025578954297018116
GHA,Ghana,1995_2000,2000,65,26649.3370325902,0.0109130017163273,290.824260741291,Africa,Africa,Western Africa,0.010913001715038319,5.67615177430941,10.190557076140296,0.010853884620863346
GHA,Ghana,2000_2005,2005,65,18252.6003293775,0.00825021566997389,150.587889315768,Africa,Africa,Western Africa,0.008250215673292167,5.0211655842373375,9.812117617875883,0.008216368676573129
GHA,Ghana,2005_2010,2010,65,12681.2164641613,0.00479133587426782,60.7599674336503,Africa,Africa,Western Africa,0.004791335878964416,4.123255378411497,9.447956012728195,0.004779893958024655
GHA,Ghana,2010_2015,2015,65,6745.48352786047,0.00788122872487233,53.1626986324377,Africa,Africa,Western Africa,0.007881228738142043,3.9919924544017946,8.816776689284888,0.007850334060876636
GIN,Guinea,1995_2000,2000,65,13741.4108293568,6.7232994389217e-4,9.23876194638713,Africa,Africa,Western Africa,6.723299420354768e-4,2.3261807086287916,9.528242011036799,6.721040313682747e-4
GIN,Guinea,2000_2005,2005,65,9229.04390772934,0.00202558664296938,18.6942280215535,Africa,Africa,Western Africa,0.002025586638058689,2.980325598983093,9.130219084552683,0.00202353790847162
GIN,Guinea,2005_2010,2010,65,14005.2909596048,0.00209499750927319,29.3410496860179,Africa,Africa,Western Africa,0.00209499750991577,3.4125015707516355,9.547261861925492,0.002092806062174981
GIN,Guinea,2010_2015,2015,65,13501.3637372348,0.00442416641667915,59.7322800814915,Africa,Africa,Western Africa,0.004424166420815592,4.106475353770676,9.51062004074679,0.004414408562100512
GNQ,Equatorial Guinea,1995_2000,2000,65,668.89666114928,0.00286996518064067,1.91971013869943,Africa,Africa,Middle Africa,0.002869965198213183,1.0714843437841508,6.507123463398622,0.002865854693330533
GNQ,Equatorial Guinea,2000_2005,2005,65,467.257371865246,7.0868929357148e-4,0.331140295992272,Africa,Africa,Middle Africa,7.086892918786753e-4,0.28603594031360563,6.149018084639131,7.084382918952015e-4
GNQ,Equatorial Guinea,2005_2010,2010,65,307.329887820903,1.4742861737185e-4,0.0453092202721823,Africa,Africa,Middle Africa,1.4742861683074028e-4,0.044312746212334164,5.73117027414697,1.4741775084125183e-4
GNQ,Equatorial Guinea,2010_2015,2015,65,182.774810931404,0.0112606073232107,2.05815536824247,Africa,Africa,Middle Africa,0.011260607289124225,1.117811913358962,5.213711154454855,0.011197678653930815
KEN,Kenya,1995_2000,2000,65,54528.4798311544,0.0104536999104876,570.024365222677,Africa,Africa,Eastern Africa,0.01045369991952349,6.347431879888665,10.90649674874302,0.010399437821700476
KEN,Kenya,2000_2005,2005,65,14188.6096289857,0.00940157770368604,133.395315956873,Africa,Africa,Eastern Africa,0.009401577705285631,4.900785575970359,9.56026525948573,0.00935765793418253
KEN,Kenya,2005_2010,2010,65,11229.1607293,0.00616276413245034,69.2026689025766,Africa,Africa,Eastern Africa,0.006162764125551041,4.2513863288643,9.326358360123388,0.006143851962628444
KEN,Kenya,2010_2015,2015,65,8751.791338865,0.00386854229876087,33.8566749149263,Africa,Africa,Eastern Africa,0.003868542290830839,3.551244651575992,9.077127938634739,0.0038610787315598843
LBR,Liberia,1995_2000,2000,65,7669.19468963062,0.00476532273144335,36.5461878463959,Africa,Africa,Western Africa,0.004765322739271353,3.625571850989743,8.945097277302597,0.004754004523442629
LBR,Liberia,2000_2005,2005,65,6693.40263212825,0.00882718535661947,59.0839057942116,Africa,Africa,Western Africa,0.008827185370652826,4.095742015233167,8.809027028174011,0.008788453517826983
LBR,Liberia,2005_2010,2010,65,3430.8806912997,0.00978393293353514,33.5675065141597,Africa,Africa,Western Africa,0.009783932912410172,3.5429141227281398,8.140863696396272,0.009736380178775652
LBR,Liberia,2010_2015,2015,65,2300.38029745119,0.00812589867037578,18.6926570889723,Africa,Africa,Western Africa,0.008125898621929457,2.980245829659999,7.7412643512382555,0.008093061324466057
LBY,Libya,1995_2000,2000,65,2466.92194082726,0,0,Africa,Africa,Northern Africa,0,0,7.811131756011011,0
LBY,Libya,2000_2005,2005,65,1518.48925191805,0,0,Africa,Africa,Northern Africa,0,0,7.326129538898497,0
LBY,Libya,2005_2010,2010,65,1214.7328560058,0,0,Africa,Africa,Northern Africa,0,0,7.103102347605853,0
LBY,Libya,2010_2015,2015,65,1394.26451672911,0,0,Africa,Africa,Northern Africa,0,0,7.240839294007258,0
MAR,Morocco,1995_2000,2000,65,9376.87173533152,0.0113776576451439,106.686836526915,Africa,Africa,Northern Africa,0.011377657660062157,4.6792273531726165,9.14610812236806,0.01131341889685131
MAR,Morocco,2000_2005,2005,65,6473.38911322165,0.0112100601569062,72.56708159119,Africa,Africa,Northern Africa,0.011210060189796795,4.298197664694534,8.775609536668533,0.01114769309208531
MAR,Morocco,2005_2010,2010,65,4385.63755180291,0.00851778182565619,37.3559039493911,Africa,Africa,Northern Africa,0.008517781852272381,3.646908465100978,8.386318279062177,0.008481710210735129
MAR,Morocco,2010_2015,2015,65,4260.67522114311,0.00720949037995294,30.7172970101648,Africa,Africa,Northern Africa,0.0072094903778945054,3.4568621790803893,8.357417606362892,0.007183626241290161
MDG,Madagascar,1995_2000,2000,65,101454.574518216,0.0107601600101263,1091.66745551586,Africa,Africa,Eastern Africa,0.010760160009540554,6.996377192584026,11.527376292174278,0.010702681439868777
MDG,Madagascar,2000_2005,2005,65,20584.2306168025,0.0136473875221101,280.920971696306,Africa,Africa,Eastern Africa,0.013647387503859182,5.641626789451246,9.932329137289296,0.013555100630969276
MDG,Madagascar,2005_2010,2010,65,11879.4316695352,0.00401949600076533,47.7493280996864,Africa,Africa,Eastern Africa,0.004019496001828062,3.8866914147783405,9.382647928075967,0.0040114394084596805
MDG,Madagascar,2010_2015,2015,65,8483.33670585225,0.00778598429912839,66.0511264171631,Africa,Africa,Eastern Africa,0.007785984301624804,4.20545540924598,9.045977002055505,0.00775582994313397
MLI,Mali,1995_2000,2000,65,35192.77428089,0.00241946787905284,85.1477869969393,Africa,Africa,Western Africa,0.0024194678804613404,4.4560642748545565,10.468624478923202,0.0024165456791407263
