iso3,transition,year,status,cell_area_sum_km2,cell_area_max_km2,natural_loss_sum_km2,natural_loss_max_km2,weight_sum,bfnee_sum_km2,bfnee_max_km2,expected_bfnee_sum_km2,ratio_bf_to_loss,suspicious_old_scale
MMR,2010_2015,2015,ok,699596.9609308243,84.192596435546875,16003.2041025398,53.267189025878906,0.009977925193793726,159.67877329135897,0.5314960479736328,159.67877339615498,0.009977925187245287,FALSE
MNG,1995_2000,2000,ok,1573126.7308281064,63.897300720214844,14652.826520747323,58.51938247680664,0.0020347463559847873,29.81478538597913,0.11907210201025009,29.814785367967865,0.002034746357213988,FALSE
MNG,2000_2005,2005,ok,1573126.7308281064,63.897300720214844,11876.764825064794,55.55118942260742,0.0032794770533459685,38.94957768923567,0.18217885494232178,38.94957771178654,0.00327947705144723,FALSE
MNG,2005_2010,2010,ok,1573126.7308281064,63.897300720214844,11303.015808620434,58.342899322509766,5.010919478257419e-4,5.663850210193174,0.029235156252980232,5.6638502078467665,5.010919480333332e-4,FALSE
MNG,2010_2015,2015,ok,1573126.7308281064,63.897300720214844,10414.826284700513,58.43370056152344,0.0026625193475850574,27.72967651596337,0.15558086335659027,27.72967648475252,0.0026625193505818287,FALSE
MOZ,1995_2000,2000,ok,804805.2413938046,84.03780364990234,327924.3428381232,83.77680206298828,0.0061060442786227305,2002.3205576870084,0.5115448832511902,2002.320557407841,0.006106044279474047,FALSE
MOZ,2000_2005,2005,ok,804805.2413938046,84.03780364990234,56488.69125731857,83.22563171386719,0.00813333512357524,459.44145651132715,0.6769019365310669,459.44145668794675,0.008133335120448604,FALSE
MOZ,2005_2010,2010,ok,804805.2413938046,84.03780364990234,22259.764294590877,83.08605194091797,0.004264861890622486,94.9348203136424,0.3543505370616913,94.93482043423977,0.004264861885204758,FALSE
MOZ,2010_2015,2015,ok,804805.2413938046,84.03780364990234,12234.009033386254,82.177337646484375,0.0036556422192380767,44.72315993375442,0.3004109561443329,44.7231599329868,0.003655642219300821,FALSE
MRT,1995_2000,2000,ok,1060815.1526126862,82.64769744873047,6970.122666340261,79.36456298828125,0.004402432958056818,30.68549776034454,0.3493971824645996,30.685497747995235,0.004402432959828567,FALSE
MRT,2000_2005,2005,ok,1060815.1526126862,82.64769744873047,7604.74131222132,82.38322448730469,0.003765791816829625,28.637872574471277,0.3102380633354187,28.63787260266923,0.003765791813121681,FALSE
MRT,2005_2010,2010,ok,1060815.1526126862,82.64769744873047,9531.146015480412,82.37995910644531,0.010617555248898364,101.19746942879917,0.8746737837791443,101.19746940468077,0.010617555251428846,FALSE
MRT,2010_2015,2015,ok,1060815.1526126862,82.64769744873047,3268.321094352109,82.37171936035156,0.008356580434311516,27.31198812153,0.6883459091186523,27.311988110110438,0.008356580437805532,FALSE
MWI,1995_2000,2000,ok,108059.00657719374,84.31839752197266,39154.282089994034,83.90455627441406,0.0032161419054678006,125.92572745258117,0.2698489725589752,125.92572740813719,0.0032161419066028996,FALSE
MWI,2000_2005,2005,ok,108059.00657719374,84.31839752197266,8906.095240092403,84.21720886230469,0.004150774501461069,36.967192968092675,0.34956663846969604,36.96719303015934,0.004150774494492059,FALSE
MWI,2005_2010,2010,ok,108059.00657719374,84.31839752197266,7732.807904881185,83.29779815673828,0.003794971117789908,29.34578271114244,0.3161127269268036,29.345782658441586,0.0037949711246051364,FALSE
MWI,2010_2015,2015,ok,108059.00657719374,84.31839752197266,3242.4809724430206,83.754669189453125,0.0034008313919590624,11.027131116845514,0.2848355174064636,11.027131078914172,0.003400831403657309,FALSE
MYS,1995_2000,2000,ok,357495.9473056793,85.47059631347656,15078.712149416422,85.33673858642578,0.026270381727615467,396.12352399512065,2.241828680038452,396.1235241260025,0.026270381718935556,FALSE
MYS,2000_2005,2005,ok,357495.9473056793,85.47059631347656,14824.125010982754,85.375,0.01885832543957928,279.5581734609667,1.6100295782089233,279.5581738141196,0.018858325415756435,FALSE
MYS,2005_2010,2010,ok,357495.9473056793,85.47059631347656,16302.666580452516,85.37944030761719,0.014837870176715914,241.89685072472741,1.2668490409851074,241.8968502550396,0.014837870205526404,FALSE
MYS,2010_2015,2015,ok,357495.9473056793,85.47059631347656,11181.387129603105,85.34212493896484,0.01063450321500563,118.90849748398368,0.9075710773468018,118.90849737798679,0.010634503224485392,FALSE
NAM,1995_2000,2000,ok,845131.1675415039,81.727203369140625,41694.7285986754,81.448272705078125,0.0014562040780704616,60.71603384295086,0.11860530823469162,60.71603381943222,0.001456204078634529,FALSE
NAM,2000_2005,2005,ok,845131.1675415039,81.727203369140625,13864.26448799943,81.46588134765625,0.0012779713865548712,17.71813332486835,0.10411106795072556,17.718133311292092,0.0012779713875340978,FALSE
NAM,2005_2010,2010,ok,845131.1675415039,81.727203369140625,18818.398740303717,81.49735260009766,0.0013817332516338789,26.00200727944052,0.11260759830474854,26.002007281982745,0.0013817332514987862,FALSE
